partID;percentCorrect;nrRatingsTimedOut;missesBL;missesCue;repZeroTargetsAbsent;repZeroTargetsPresent
301;91.146;1;31.25;8.333;98.63;2.174
302;70.833;3;12.5;91.667;79.452;13.043
303;93.229;2;0;0;93.151;0
304;32.292;32;43.75;25;32.877;21.739
305;75.521;1;0;41.667;78.767;8.696
306;77.604;2;18.75;41.667;82.877;8.696
307;61.458;0;25;16.667;63.699;8.696
308;83.333;0;0;16.667;82.877;4.348
309;88.021;0;0;33.333;91.781;0
310;94.792;0;6.25;33.333;98.63;6.522
311;88.021;2;12.5;16.667;93.836;4.348
312;75.521;0;31.25;66.667;82.192;10.87
313;88.021;1;50;8.333;99.315;4.348
314;50.521;1;12.5;58.333;56.849;26.087
315;52.083;2;43.75;58.333;59.589;30.435
316;86.979;0;6.25;16.667;87.671;2.174
317;93.75;0;0;16.667;96.575;2.174
318;57.292;0;12.5;33.333;60.959;2.174
319;96.875;0;0;0;97.945;0
320;39.583;1;0;8.333;36.301;0
321;98.438;1;0;0;99.315;0
322;22.396;9;43.75;50;23.288;28.261
323;85.417;1;18.75;8.333;88.356;6.522
324;57.812;17;12.5;50;59.589;2.174
